mahalle_name,pop_total,pop_15_34,year,source
Zafertepe Mahallesi,2169,,2025,TUIK ADNKS
Çamlıtepe Mahallesi,6038,,2025,TUIK ADNKS
Çankaya Mahallesi,7786,,2025,TUIK ADNKS
Çavuşlu Mahallesi,313,,2025,TUIK ADNKS
Çayyolu Mahallesi,6925,,2025,TUIK ADNKS
Çiğdem Mahallesi,12508,,2025,TUIK ADNKS
Çukurambar Mahallesi,12811,,2025,TUIK ADNKS
Ön Cebeci Mahallesi,4117,,2025,TUIK ADNKS
Öveçler Mahallesi,8726,,2025,TUIK ADNKS
Ümit Mahallesi,14019,,2025,TUIK ADNKS
Üniversiteler Mahallesi,34242,,2025,TUIK ADNKS
İleri Mahallesi,3906,,2025,TUIK ADNKS
İlkadım Mahallesi,12520,,2025,TUIK ADNKS
İlkbahar Mahallesi,17938,,2025,TUIK ADNKS
İlker Mahallesi,2880,,2025,TUIK ADNKS
İncesu Mahallesi,2878,,2025,TUIK ADNKS
İşçi Blokları Mahallesi,16497,,2025,TUIK ADNKS
Şehit Cengiz Karaca Mahallesi,7377,,2025,TUIK ADNKS
Şehit Cevdet Özdemir Mahallesi,8169,,2025,TUIK ADNKS
